dummy,first,second,Grid,Lat,Long
,302219,166320,ST0221966320,51.387471,-3.4066095
,218740,652937,NS1874052937,55.735807,-4.8885741
,447490,424684,SE4749024684,53.716417,-1.2818853
,585300,286900,TL8530086900,52.448628,0.72527266
,476500,259700,SP7650059700,52.230195,-0.88134077
,337200,559800,NY3720059800,54.928912,-2.9815178
,411500,192500,SU1150092500,51.631197,-1.8352485
,302400,256000,SO0240056000,52.193569,-3.4292722
,314900,121800,ST1490021800,50.989286,-3.2138538
,457200,424000,SE5720024000,53.709298,-1.1348974
,243260,376631,SH4326076631,53.263454,-4.3514618
,583577,125972,TQ8357725972,51.003844,0.61514339
,229288,801062,NH2928801062,57.068853,-4.8173857
,428049,530414,NZ2804930414,54.668027,-1.5666319
,361823,131905,ST6182331905,51.085183,-2.5464292
,219921,600195,NS1992100195,55.262926,-4.8355446
,422804,94625,SZ2280494625,50.750782,-1.6781191
,117392,488885,SB1739288885,54.217507,-6.3366692
,545350,181950,TQ4535081950,51.517777,0.093461468
,430213,435435,SE3021335435,53.814327,-1.542615
,508090,160261,TQ0809060261,51.331182,-0.44990847
,271390,870450,NH7139070450,57.705392,-4.159927
,288400,186900,SS8840086900,51.569891,-3.6116336
,31750,505000,NV3175005000,54.30733,-7.663943
,233710,634940,NS3371034940,55.579645,-4.6395388
,458500,519500,NZ5850019500,54.567351,-1.0967261
,480945,486785,SE8094586785,54.270322,-0.75857315
,522530,437505,TA2253037505,53.819389,-0.14021267
,519000,411520,TA1900011520,53.586768,-0.20377465
,284085,688685,NS8408588685,56.076885,-3.8639207
,498860,406109,SE9886006109,53.542328,-0.5096091
,267902,192506,SS6790292506,51.615835,-3.9093414
,334526,443323,SD3452643323,53.881947,-2.9975021
,446531,314260,SK4653114260,52.723994,-1.3124892
,300293,530977,NY0029330977,54.663976,-3.5473311
,557716,106875,TQ5771606875,50.839914,0.23862162
,496208,236736,SP9620836736,52.020713,-0.59935521
,330660,136870,ST3066036870,51.126895,-2.9922426
,372500,149500,ST7250049500,51.244006,-2.3953496
,434700,406300,SE3470006300,53.552189,-1.477719
,334983,256434,SO3498356434,52.202282,-2.9527669
,392500,323500,SJ9250023500,52.808995,-2.1127039
,261685,109395,SS6168509395,50.867466,-3.9669487
,277930,186880,SS7793086880,51.56754,-3.7626211
,383491,330826,SJ8349130826,52.874648,-2.2467248
,372288,151929,ST7228851929,51.265837,-2.3985756
,200700,635500,NS0070035500,55.572286,-5.1627846
,319000,695100,NT1900095100,56.141701,-3.30511
,249930,59564,SX4993059564,50.41672,-4.1136845
,114111,572716,NW1411172716,54.966807,-6.4684715
,477542,377676,SK7754277676,53.290385,-0.83821263
,312487,965579,ND1248765579,58.569399,-3.5062339
,626522,324286,TG2652224286,52.76863,1.3564188
,418528,187782,SU1852887782,51.58859,-1.733959
,357592,394778,SJ5759294778,53.448049,-2.639996
,420401,190490,SU2040190490,51.612874,-1.7067676
,497563,383132,SK9756383132,53.336109,-0.53628723
,410700,549800,NZ1070049800,54.842902,-1.8349115
,368000,583500,NY6800083500,55.144806,-2.5035825
,383449,555741,NY8344955741,54.896124,-2.2595913
,545000,279900,TL4500079900,52.397915,0.12972984
,203352,629538,NS0335229538,55.519872,-5.1165507
,586251,285851,TL8625185851,52.438885,0.73866478
,613200,275200,TM1320075200,52.333437,1.1277608
,448650,275665,SP4865075665,52.376872,-1.2867624
,489800,290900,SP8980090900,52.508607,-0.67831711
,619497,307667,TG1949707667,52.62237,1.241391
,538424,183769,TQ3842483769,51.53586,-0.005578553
,511079,205798,TL1107905798,51.739889,-0.39267117
,511079,205798,TL1107905798,51.739889,-0.39267117
,310449,682063,NT1044982063,56.023076,-3.438303
,293466,682661,NS9346682661,56.02497,-3.7108836
,326333,677112,NT2633377112,55.981311,-3.1821748
,466649,428375,SE6664928375,53.747496,-0.9908268
,518091,417285,TA1809117285,53.638765,-0.21531627
,431322,582456,NZ3132282456,55.135483,-1.5102477
,431479,431846,SE3147931846,53.781995,-1.5237535
,332704,288228,SO3270488228,52.487799,-2.9924899
,361978,864118,NJ6197864118,57.66533,-2.6389641
,548533,183901,TQ4853383901,51.53448,0.14012428
,209648,776708,NN0964876708,56.842705,-5.1224712
,515960,272020,TL1596072020,52.33402,-0.29958042
,450612,382646,SK5061282646,53.338305,-1.2413631
,592076,168421,TQ9207668421,51.382331,0.75882199
,301071,669021,NT0107169021,55.904097,-3.583905
,467235,375633,SK6723575633,53.27343,-0.99323668
,320241,174279,ST2024174279,51.461843,-3.1494699
,449811,521670,NZ4981121670,54.587779,-1.2307325
,455549,108834,SU5554908834,50.876341,-1.2118456
,278940,186385,SS7894086385,51.563309,-3.7478855
,428108,297173,SP2810897173,52.571658,-1.5867039
,429850,590374,NZ2985090374,55.206722,-1.5325041
,447490,424684,SE4749024684,53.716417,-1.2818853
,444564,381752,SK4456481752,53.330812,-1.3323112
,533578,341831,TF3357841831,52.957226,-0.012939122
,405971,317375,SK0597117375,52.753956,-1.9129711
,293857,206832,SN9385706832,51.750094,-3.5389867
,424308,578123,NZ2430878123,55.09694,-1.6206294
,53147,564212,NV5314764212,54.852087,-7.4064644
,322350,468350,SD2235068350,54.105151,-3.1890805
,64627,583737,NV6462783737,55.034627,-7.2512062
,365432,303783,SJ6543203783,52.630693,-2.5121656
,328595,338816,SJ2859538816,52.941964,-3.0640011
,380652,212428,SO8065212428,51.810148,-2.2820429
,439487,364075,SK3948764075,53.172328,-1.4107266
,507124,174485,TQ0712474485,51.459215,-0.45948022
,634882,253510,TM3488253510,52.129943,1.4303465
,372220,392117,SJ7222092117,53.425108,-2.4195174
,244609,60273,SX4460960273,50.421707,-4.1888176
,340403,228529,SO4040328529,51.952043,-2.8685861
,441417,557257,NZ4141757257,54.908318,-1.3555566
,378641,397677,SJ7864197677,53.475384,-2.3232715
,525420,104804,TQ2542004804,50.829195,-0.22050952
,360121,394484,SJ6012194484,53.445604,-2.6018823
,410184,98499,SZ1018498499,50.785975,-1.8569004
,327767,849116,NJ2776749116,57.526411,-3.2078007
,276305,189045,SS7630589045,51.586642,-3.7868176
,347787,175980,ST4778775980,51.480353,-2.7532615
,545005,181988,TQ4500581988,51.518207,0.08850834
,532992,389263,TF3299289263,53.383476,-0.001955611
,433245,295175,SP3324595175,52.553408,-1.5111108
,486663,169545,SU8666369545,51.418306,-0.75511372
,342587,438278,SD4258738278,53.837565,-2.8739461
,345500,376500,SJ4550076500,53.282657,-2.8188875
,375558,396941,SJ7555896941,53.468634,-2.3696628
,498860,406109,SE9886006109,53.542328,-0.5096091
,600511,290670,TM0051190670,52.47711,0.95105763
,563330,176110,TQ6333076110,51.460403,0.34967657
,454280,523320,NZ5428023320,54.602146,-1.161282
,328310,135870,ST2831035870,51.117614,-3.0256191
,327988,701561,NO2798801561,56.20118,-3.162255
,470309,408866,SE7030908866,53.571696,-0.93974568
,293993,686259,NS9399386259,56.057399,-3.7038561
,353367,181676,ST5336781676,51.532054,-2.6736706
,288375,186946,SS8837586946,51.570299,-3.6120088
,520097,415561,TA2009715561,53.622821,-0.1856562
,441740,391937,SK4174091937,53.422585,-1.3733704
,515477,428432,TA1547728432,53.739492,-0.25068672
,450957,521558,NZ5095721558,54.586658,-1.2130204
,489000,271500,SP8900071500,52.334377,-0.69525795
,535169,192804,TQ3516992804,51.617838,-0.049006108
,440075,391650,SK4007591650,53.420135,-1.3984598
,472715,423710,SE7271523710,53.704765,-0.89995564
,316158,380495,SJ1615880495,53.314724,-3.2599387
,312625,167514,ST1262567514,51.399904,-3.2573991
,358892,629839,NT5889229839,55.56049,-2.6532892
,334567,700177,NO3456700177,56.189699,-3.0558965
,633403,159180,TR3340359180,51.283909,1.3456656
,466650,427050,SE6665027050,53.735589,-0.99109683
,466650,427050,SE6665027050,53.735589,-0.99109683
,340600,730752,NO4060030752,56.465144,-2.9656153
,491171,459820,SE9117159820,54.02633,-0.60973987
,513307,428707,TA1330728707,53.742438,-0.28346985
,612132,264013,TM1213264013,52.233425,1.1050766
,331387,184150,ST3138784150,51.552048,-2.9909822
,476449,260399,SP7644960399,52.236485,-0.88192951
,521611,299282,TL2161199282,52.577764,-0.20676337
,369701,74257,SY6970174257,50.567269,-2.4291768
,600731,290906,TM0073190906,52.479148,0.95443444
,327641,845585,NJ2764145585,57.494681,-3.2088547
,389708,811181,NJ8970811181,57.191314,-2.1719292
,197995,232045,SM9799532045,51.950118,-4.9408771
,503240,256004,TL0324056004,52.19262,-0.4910798
,350091,384450,SJ5009184450,53.354564,-2.7512897
,225594,381320,SH2559481320,53.300043,-4.6186152
,466650,427050,SE6665027050,53.735589,-0.99109683
,315251,960032,ND1525160032,58.520146,-3.456665
,449587,164281,SU4958764281,51.375426,-1.2889661
,521100,414050,TA2110014050,53.609016,-0.17108658
,312100,585100,NY1210085100,55.152401,-3.3808914
,125000,525000,NW2500025000,54.545326,-6.2537185
,390823,421809,SD9082321809,53.692644,-2.140452
,352459,177491,ST5245977491,51.494352,-2.6861939
,447834,521669,NZ4783421669,54.58796,-1.2613222
,522778,438754,TA2277838754,53.830551,-0.13594959
,519000,411520,TA1900011520,53.586768,-0.20377465
,548880,320385,TF4888020385,52.760559,0.20488951
,376500,780500,NO7650080500,56.915219,-2.387581
,508635,345855,TF0863545855,52.99901,-0.38272348
,234450,105800,SS3445005800,50.828003,-4.3520363
,277924,676998,NS7792476998,55.97041,-3.9575232
,277924,676998,NS7792476998,55.97041,-3.9575232
,338850,428420,SD3885028420,53.748547,-2.9287667
,464588,342496,SK6458842496,52.975933,-1.0395843
,387275,123550,ST8727523550,51.011188,-2.1827593
,614994,337994,TG1499437994,52.896374,1.194852
,383732,388642,SJ8373288642,53.394356,-2.2460992
,388115,400842,SD8811500842,53.504133,-2.1806544
,594993,147457,TQ9499347457,51.193058,0.78925034
,539857,298688,TL3985798688,52.568046,0.062073484
,554858,367352,TF5485867352,53.180735,0.31585262
,544727,350655,TF4472750655,53.033601,0.15685436
,333392,444767,SD3339244767,53.894779,-3.0150645
,351423,423205,SD5142323205,53.703004,-2.7373069
,334315,443459,SD3431543459,53.883143,-3.0007406
,484016,280041,SP8401680041,52.411929,-0.76624724
,489102,99582,SZ8910299582,50.788971,-0.73729965
,384502,319762,SJ8450219762,52.77522,-2.2311751
,446279,211425,SP4627911425,51.799563,-1.3302881
,155489,531504,NW5548931504,54.619292,-5.7889088
,277889,676918,NS7788976918,55.969682,-3.9580473
,353600,179530,ST5360079530,51.512779,-2.6700285
,451758,298963,SP5175898963,52.586017,-1.2374994
,467916,176874,SU6791676874,51.486748,-1.0232563
,378836,109350,ST7883609350,50.883248,-2.3022192
,334777,149380,ST3477749380,51.239854,-2.9356949
,580088,265389,TL8008865389,52.257188,0.63713823
,534209,229393,TL3420929393,51.946851,-0.048728366
,615969,316308,TG1596916308,52.701342,1.1950133
,498750,225450,SP9875025450,51.918829,-0.565565
,625751,167136,TR2575167136,51.358414,1.2411603
,457265,404820,SE5726504820,53.536917,-1.1374336
,571785,186629,TQ7178586629,51.552395,0.47638336
,498538,456147,SE9853856147,53.991977,-0.49851006
,466125,284563,SP6612584563,52.455027,-1.0283356
,337451,327233,SJ3745127233,52.838961,-2.9300066
,614742,326962,TG1474226962,52.797457,1.1838533
,399422,309599,SJ9942209599,52.684084,-2.0099866
,444005,426240,SE4400526240,53.730706,-1.334467
,616498,316273,TG1649816273,52.700817,1.2028064
,269721,208068,SN6972108068,51.756104,-3.8888979
,501545,416448,TA0154516448,53.634713,-0.46574524
,321166,175969,ST2116675969,51.477165,-3.1365355
,419664,291273,SP1966491273,52.518988,-1.7116389
,463399,339854,SK6339939854,52.952328,-1.0578049
,551017,180976,TQ5101780976,51.50754,0.17465804
,465377,146817,SU6537746817,51.216819,-1.0653312
,508839,411734,TA0883911734,53.590896,-0.35712675
,300938,205377,SO0093805377,51.738314,-3.4360326
,613200,275000,TM1320075000,52.331642,1.1276341
,392500,392300,SJ9250092300,53.427436,-2.1143368
,499560,268037,SP9956068037,52.301442,-0.54135451
,465057,362789,SK6505762789,53.158265,-1.0285063
,229333,650530,NS2933350530,55.718053,-4.7185721
,312882,552124,NY1288252124,54.856296,-3.3585717
,397144,350648,SJ9714450648,53.053081,-2.0440588
,308683,690319,NT0868390319,56.096895,-3.469444
,428111,297109,SP2811197109,52.571083,-1.586665
,527584,235416,TL2758435416,52.002531,-0.14282629
,498144,263639,SP9814463639,52.262169,-0.56339212
,559921,286678,TL5992186678,52.454646,0.35208179
,602618,284869,TM0261884869,52.424252,0.97851925
,460867,146936,SU6086746936,51.218387,-1.1298757
,269551,201355,SN6955101355,51.69574,-3.8888425
,323366,138920,ST2336638920,51.144394,-3.0968907
,523801,297290,TL2380197290,52.559371,-0.1752054
,603151,284969,TM0315184969,52.424953,0.98640736
,427211,523486,NZ2721123486,54.605815,-1.5802656
,548394,182415,TQ4839482415,51.521164,0.13749621
,540324,328455,TF4032428455,52.835344,0.081647035
,470457,217300,SP7045717300,51.849858,-0.97852697
,330110,198710,ST3011098710,51.682783,-3.0123059
,374201,293951,SO7420193951,52.542796,-2.3818406
,259509,662366,NS5950962366,55.834008,-4.2447322
,410161,98525,SZ1016198525,50.78621,-1.857226
,366362,134820,ST6636234820,51.111679,-2.4819011
,443726,411990,SE4372611990,53.602657,-1.3406971
,510170,430424,TA1017030424,53.758535,-0.33040027
,536298,350519,TF3629850519,53.034591,0.031184755
,391166,286880,SO9116686880,52.479772,-2.1315007
,475087,253122,SP7508753122,52.171261,-0.90348109
,361141,131346,ST6114131346,51.08011,-2.5561053
,283383,635612,NS8338335612,55.600111,-3.8523839
,488703,240458,SP8870340458,52.055417,-0.70773133
,461566,190948,SU6156690948,51.614003,-1.1122387
,250440,669070,NS5044069070,55.891464,-4.3930951
,88500,521293,NV8850021293,54.491005,-6.812108
,363395,165868,ST6339565868,51.390663,-2.5274692
,527064,168315,TQ2706468315,51.399645,-0.17482531
,256301,61291,SX5630161291,50.433836,-4.0247316
,350392,384214,SJ5039284214,53.352471,-2.7467308
,457265,404820,SE5726504820,53.536917,-1.1374336
,499459,165739,SU9945965739,51.381996,-0.57222121
,462309,431934,SE6230931934,53.780016,-1.0559105
,530006,166069,TQ3000666069,51.378795,-0.13337911
,538126,209495,TL3812609495,51.767101,0.000279284
,517281,135056,TQ1728135056,51.102819,-0.3262785
,582782,230400,TL8278230400,51.942072,0.65780944
,410878,289562,SP1087889562,52.50385,-1.8411741
,420921,285739,SP2092185739,52.469191,-1.6934604
,521310,182908,TQ2131082908,51.532056,-0.25249455
,331400,143200,ST3140043200,51.183895,-2.9828786
,304959,374970,SJ0495974970,53.263183,-3.426328
,549090,169697,TQ4909069697,51.406707,0.14216174
,380250,416825,SD8025016825,53.647553,-2.3002473
,431341,560661,NZ3134160661,54.939637,-1.5123329
,451868,143268,SU5186843268,51.186294,-1.2592417
,464904,443729,SE6490443729,53.885696,-1.0140506
,466125,284563,SP6612584563,52.455027,-1.0283356
,625958,166890,TR2595866890,51.356124,1.2439722
,458500,519500,NZ5850019500,54.567351,-1.0967261
,452924,86485,SZ5292486485,50.675629,-1.2523612
,548310,182740,TQ4831082740,51.524106,0.13642306
,121174,500121,NW2117400121,54.320277,-6.2892966
,429880,488497,SE2988088497,54.291229,-1.5424656
,502320,360674,TF0232060674,53.133413,-0.47207783
,446272,118254,SU4627218254,50.961859,-1.3424983
,351977,674000,NT5197774000,55.956609,-2.7706977
,349663,122127,ST4966322127,50.996323,-2.7186622
,399036,141476,ST9903641476,51.172523,-2.0151692
,620476,327900,TG2047627900,52.803565,1.2693894
,566208,156263,TQ6620856263,51.281263,0.38179265
,445484,401479,SE4548401479,53.508038,-1.3156582
,355602,340776,SJ5560240776,52.962501,-2.6624263
,257192,209823,SN5719209823,51.768816,-4.0710189
,530613,201383,TL3061301383,51.696007,-0.1115721
,234362,636566,NS3436236566,55.594462,-4.6301844
,468377,458725,SE6837758725,54.020009,-0.95786853
,272135,124437,SS7213524437,51.005068,-3.8238113
,509450,178120,TQ0945078120,51.491443,-0.42488902
,345687,377142,SJ4568777142,53.288447,-2.8161931
,452775,521083,NZ5277521083,54.582204,-1.1849774
,412017,551124,NZ1201751124,54.85477,-1.8143494
,479949,409327,SE7994909327,53.574461,-0.79408883
,389596,568832,NY8959668832,55.013929,-2.1642276
,582400,220500,TL8240020500,51.853283,0.64702497
,469299,385640,SK6929985640,53.363099,-0.96010798
,385467,195975,ST8546795975,51.662365,-2.2115102
,443976,426218,SE4397626218,53.730511,-1.3349097
,394374,227514,SO9437427514,51.946094,-2.083259
,530540,354400,TF3054054400,53.070893,-0.053058764
,441799,406582,SE4179906582,53.554208,-1.3705376
,302227,578926,NY0222778926,55.095088,-3.5336348
,461270,343928,SK6127043928,52.989192,-1.0887192
,378059,368999,SJ7805968999,53.217588,-2.3300417
,190542,64879,SW9054264879,50.446277,-4.9515659
,286587,208584,SN8658708584,51.764414,-3.6448267
,508556,168426,TQ0855668426,51.404483,-0.44073168
,372306,97577,SY7230697577,50.777105,-2.3941489
,525991,312650,TF2599112650,52.696879,-0.13706584
,440675,459799,SE4067559799,54.032581,-1.3804977
,566070,297629,TL6607097629,52.551172,0.44794712
,520447,204547,TL2044704547,51.726713,-0.25749422
,332400,670800,NT3240070800,55.925503,-3.0833796
,354564,181223,ST5456481223,51.528079,-2.6563569
,50598,560668,NV5059860668,54.818612,-7.4417069
,302332,89045,SY0233289045,50.692826,-3.3841241
,490943,290854,SP9094390854,52.508005,-0.66149368
,411200,196800,SU1120096800,51.669865,-1.8394465
,363915,136582,ST6391536582,51.127373,-2.5170323
,439943,442482,SE3994342482,53.877006,-1.3939327
,432562,431608,SE3256231608,53.77979,-1.5073435
,466380,302338,SK6638002338,52.614768,-1.0210374
,394860,564306,NY9486064306,54.973341,-2.0818281
,448771,520961,NZ4877120961,54.581509,-1.2469415
,462191,190619,SU6219190619,51.610977,-1.1032717
,235700,815600,NH3570015600,57.201634,-4.7213252
,239200,809000,NH3920009000,57.143652,-4.6592019
,253500,806500,NH5350006500,57.125999,-4.4216492
,231850,829750,NH3185029750,57.327194,-4.7945753
,218729,762021,NN1872962021,56.714573,-4.9634057
,246415,756890,NN4641556890,56.678454,-4.5085127
,293515,757730,NN9351557730,56.699105,-3.7405586
,192865,691305,NR9286591305,56.069588,-5.3293543
,264850,798415,NN6485098415,57.056905,-4.2299656
,205595,683990,NS0559583990,56.009306,-5.1198862
,247395,843655,NH4739543655,57.457442,-4.5453208
,249410,844225,NH4941044225,57.46323,-4.5121222
,246905,851695,NH4690551695,57.529424,-4.5585239
,244625,854520,NH4462554520,57.553996,-4.5983629
,222745,810690,NH2274510690,57.152758,-4.9319702
,249845,820010,NH4984520010,57.246065,-4.4901104
,231930,801320,NH3193001320,57.07214,-4.7740395
,240245,817495,NH4024517495,57.220245,-4.6474017
,247325,901540,NC4732501540,57.976831,-4.5832492
,248530,741735,NN4853041735,56.543121,-4.4651435
,245987,880074,NH4598780074,57.783761,-4.5919456
,221625,763589,NN2162563589,56.729756,-4.9172479
,252740,788520,NN5274088520,56.964384,-4.4236518
,232119,653198,NS3211953198,55.742972,-4.6759126
,453310,335270,SK5331035270,52.91222,-1.2087058
,278920,248360,SN7892048360,52.120255,-3.7698896
,290000,267500,SN9000067500,52.29458,-3.6143542
,286500,721600,NN8650021600,56.373033,-3.8392524
,213500,739500,NN1350039500,56.510474,-5.0324562
,252100,823700,NH5210023700,57.279916,-4.4549817
,183600,753300,NM8360053300,56.621419,-5.5289177
,204559,706950,NN0455906950,56.214858,-5.1532911
,218650,885650,NH1865085650,57.823548,-5.0552529
,252100,816300,NH5210016300,57.213503,-4.4505678
,265950,750850,NN6595050850,56.630243,-4.1867913
,284800,748800,NN8480048800,56.616855,-3.8788003
